name,salary_from,salary_to,salary_currency,area_name,published_at
Механик по сервису (Дистрибьютор строительной техники),120000.0,200000.0,RUR,Кемерово,2022-12-20T07:27:54+0300
Разработчик радиоэлектронных устройств,50000.0,,RUR,Омск,2022-12-20T05:31:15+0300
Junior DevOps-инженер (СберСпасибо),,,,Новосибирск,2022-12-20T07:14:00+0300
Project менеджер/Менеджер проекта (медицинское управление),,,,Москва,2022-12-20T07:24:11+0300
React - разработчик | React Developer в продукт,,,,Санкт-Петербург,2022-12-20T04:37:56+0300
Монтажник РЭА и приборов,35000.0,,RUR,Новосибирск,2022-12-20T07:52:13+0300
Главный механик,60000.0,70000.0,RUR,Иркутск,2022-12-20T07:58:12+0300
Специалист IT отдела,290000.0,,KZT,Усть-Каменогорск,2022-12-20T06:51:56+0300
Техник-механик,200000.0,235000.0,KZT,Алматы,2022-12-20T07:07:00+0300
Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-20T04:09:44+0300
Оператор станков с ЧПУ,60000.0,,RUR,Новосибирск,2022-12-20T06:54:40+0300
"Системный администратор Windows, Linux",120000.0,,RUR,Екатеринбург,2022-12-20T07:18:43+0300
Механик кондитерского оборудования,40000.0,,RUR,Красноярск,2022-12-20T07:29:33+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000.0,100000.0,RUR,Крымск,2022-12-20T07:41:27+0300
Фронтенд-разработчик React (Middle),,,,Томск,2022-12-20T05:12:25+0300
Ведущий специалист по информационной безопасности,,,,Екатеринбург,2022-12-20T07:46:16+0300
Оператор фрезерных станков с ЧПУ,60000.0,,RUR,Уфа,2022-12-20T06:05:53+0300
Инженер по ремонту и обслуживанию оборудования,60000.0,,RUR,Новосибирск,2022-12-20T05:07:05+0300
Сервис- Инженер,,,,Костанай,2022-12-20T07:26:30+0300
Корреспондент (Журналист),120000.0,,RUR,Москва,2022-12-20T06:47:34+0300
Программист 1C,50000.0,100000.0,RUR,Зеленогорск (Красноярский край),2022-12-20T05:52:11+0300
Специалист личной поддержки,,42000.0,RUR,Челябинск,2022-12-20T07:15:58+0300
Программист 1C,50000.0,100000.0,RUR,Боготол,2022-12-20T05:50:53+0300
